"year","manager","team","challenges","overturned","ejections"
2024,"Dusty Baker"," HOU",28,18,1
2024,"Rocco Baldelli"," MIN",34,16,5
2024,"David Bell"," CIN",53,21,7
2024,"Bud Black"," COL",38,19,1
2024,"Bruce Bochy"," TEX",29,11,4
2024,"Aaron Boone"," NYY",30,18,7
2024,"Kevin Cash"," TBR",55,26,3
2024,"Alex Cora"," BOS",19,10,4
2024,"Kai Correa"," SFG",0,0,0
2024,"Craig Counsell"," MIL",29,14,3
2024,"Terry Francona"," CLE",41,23,3
2024,"Pedro Grifol","CWS",40,16,5
2024,"A.J. Hinch"," DET",37,12,2
2024,"Brandon Hyde"," BAL",41,17,4
2024,"Gabe Kapler"," SFG",46,26,2
2024,"Mark Kotsay"," OAK",39,19,6
2024,"Torey Lovullo"," ARI",39,26,3
2024,"Oliver Marmol"," STL",46,24,6
2024,"Dave Martinez"," WSN",29,22,2
2024,"Bob Melvin"," SDP",39,17,5
2024,"Phil Nevin"," LAA",28,6,4
2024,"Matt Quatraro"," KCR",33,21,3
2024,"Dave Roberts"," LAD",39,19,1
2024,"David Ross"," CHC",46,20,5
2024,"John Schneider"," TOR",52,18,2
2024,"Skip Schumaker"," MIA",29,21,5
2024,"Scott Servais"," SEA",35,16,3
2024,"Derek Shelton"," PIT",41,17,3
2024,"Buck Showalter"," NYM",27,10,3
2024,"Brian Snitker"," ATL",25,14,3
2024,"Rob Thomson"," PHI",36,18,3
2023,"Dusty Baker"," HOU",28,18,1
2023,"Rocco Baldelli"," MIN",34,16,5
2023,"David Bell"," CIN",53,21,7
2023,"Bud Black"," COL",38,19,1
2023,"Bruce Bochy"," TEX",29,11,4
2023,"Aaron Boone"," NYY",30,18,7
2023,"Kevin Cash"," TBR",55,26,3
2023,"Alex Cora"," BOS",19,10,4
2023,"Kai Correa"," SFG",0,0,0
2023,"Craig Counsell"," MIL",29,14,3
2023,"Terry Francona"," CLE",41,23,3
2023,"Pedro Grifol","CWS",40,16,5
2023,"A.J. Hinch"," DET",37,12,2
2023,"Brandon Hyde"," BAL",41,17,4
2023,"Gabe Kapler"," SFG",46,26,2
2023,"Mark Kotsay"," OAK",39,19,6
2023,"Torey Lovullo"," ARI",39,26,3
2023,"Oliver Marmol"," STL",46,24,6
2023,"Dave Martinez"," WSN",29,22,2
2023,"Bob Melvin"," SDP",39,17,5
2023,"Phil Nevin"," LAA",28,6,4
2023,"Matt Quatraro"," KCR",33,21,3
2023,"Dave Roberts"," LAD",39,19,1
2023,"David Ross"," CHC",46,20,5
2023,"John Schneider"," TOR",52,18,2
2023,"Skip Schumaker"," MIA",29,21,5
2023,"Scott Servais"," SEA",35,16,3
2023,"Derek Shelton"," PIT",41,17,3
2023,"Buck Showalter"," NYM",27,10,3
2023,"Brian Snitker"," ATL",25,14,3
2023,"Rob Thomson"," PHI",36,18,3
2022,"Dusty Baker"," HOU",29,16,2
2022,"Rocco Baldelli"," MIN",51,26,5
2022,"Tony Beasley"," TEX",13,5,0
2022,"David Bell"," CIN",37,18,4
2022,"Bud Black"," COL",28,14,2
2022,"Aaron Boone"," NYY",33,19,9
2022,"Miguel Cairo","CWS",6,4,1
2022,"Kevin Cash"," TBR",42,20,2
2022,"Alex Cora"," BOS",18,8,4
2022,"Craig Counsell"," MIL",33,19,2
2022,"Terry Francona"," CLE",39,23,3
2022,"Joe Girardi"," PHI",11,4,1
2022,"A.J. Hinch"," DET",43,22,3
2022,"Brandon Hyde"," BAL",45,23,3
2022,"Gabe Kapler"," SFG",31,14,1
2022,"Mark Kotsay"," OAK",34,15,4
2022,"Tony La Russa","CWS",20,8,2
2022,"Torey Lovullo"," ARI",40,19,5
2022,"Joe Maddon"," LAA",17,5,1
2022,"Oliver Marmol"," STL",35,21,3
