Year,Team,Manager,Win,Lose,Ties,Finish,Wpost,Lpost
2024, HOU,Dusty Baker,90,72,0,1,6,5
2024, MIN,Rocco Baldelli,87,75,0,1,3,3
2024, CIN,David Bell,82,80,0,3,0,0
2024, COL,Bud Black,59,103,0,5,0,0
2024, TEX,Bruce Bochy,90,72,0,2,13,4
2024, NYY,Aaron Boone,82,80,0,4,0,0
2024, TBR,Kevin Cash,99,63,0,2,0,2
2024, BOS,Alex Cora,78,84,0,5,0,0
2024, SFG,Kai Correa,1,2,0,4,0,0
2024, MIL,Craig Counsell,92,70,0,1,0,2
2024, CLE,Terry Francona,76,86,0,3,0,0
2024,CWS,Pedro Grifol,61,101,0,4,0,0
2024, DET,A.J. Hinch,78,84,0,2,0,0
2024, BAL,Brandon Hyde,101,61,0,1,0,3
2024, SFG,Gabe Kapler,78,81,0,4,0,0
2024, OAK,Mark Kotsay,50,112,0,5,0,0
2024, ARI,Torey Lovullo,84,78,0,2,10,7
2024, STL,Oliver Marmol,71,91,0,5,0,0
2024, WSN,Dave Martinez,71,91,0,5,0,0
2024, SDP,Bob Melvin,82,80,0,3,0,0
2024, LAA,Phil Nevin,73,89,0,4,0,0
2024, KCR,Matt Quatraro,56,106,0,5,0,0
2024, LAD,Dave Roberts,100,62,0,1,0,3
2024, CHC,David Ross,83,79,0,2,0,0
2024, TOR,John Schneider,89,73,0,3,0,2
2024, MIA,Skip Schumaker,84,78,0,3,0,2
2024, SEA,Scott Servais,88,74,0,3,0,0
2024, PIT,Derek Shelton,76,86,0,4,0,0
2024, NYM,Buck Showalter,75,87,0,4,0,0
2024, ATL,Brian Snitker,104,58,0,1,1,3
2024, PHI,Rob Thomson,90,72,0,2,8,5
2023, HOU,Dusty Baker,90,72,0,1,6,5
2023, MIN,Rocco Baldelli,87,75,0,1,3,3
2023, CIN,David Bell,82,80,0,3,0,0
2023, COL,Bud Black,59,103,0,5,0,0
2023, TEX,Bruce Bochy,90,72,0,2,13,4
2023, NYY,Aaron Boone,82,80,0,4,0,0
2023, TBR,Kevin Cash,99,63,0,2,0,2
2023, BOS,Alex Cora,78,84,0,5,0,0
2023, SFG,Kai Correa,1,2,0,4,0,0
2023, MIL,Craig Counsell,92,70,0,1,0,2
2023, CLE,Terry Francona,76,86,0,3,0,0
2023,CWS,Pedro Grifol,61,101,0,4,0,0
2023, DET,A.J. Hinch,78,84,0,2,0,0
2023, BAL,Brandon Hyde,101,61,0,1,0,3
2023, SFG,Gabe Kapler,78,81,0,4,0,0
2023, OAK,Mark Kotsay,50,112,0,5,0,0
2023, ARI,Torey Lovullo,84,78,0,2,10,7
2023, STL,Oliver Marmol,71,91,0,5,0,0
2023, WSN,Dave Martinez,71,91,0,5,0,0
2023, SDP,Bob Melvin,82,80,0,3,0,0
2023, LAA,Phil Nevin,73,89,0,4,0,0
2023, KCR,Matt Quatraro,56,106,0,5,0,0
2023, LAD,Dave Roberts,100,62,0,1,0,3
2023, CHC,David Ross,83,79,0,2,0,0
2023, TOR,John Schneider,89,73,0,3,0,2
2023, MIA,Skip Schumaker,84,78,0,3,0,2
2023, SEA,Scott Servais,88,74,0,3,0,0
2023, PIT,Derek Shelton,76,86,0,4,0,0
2023, NYM,Buck Showalter,75,87,0,4,0,0
2023, ATL,Brian Snitker,104,58,0,1,1,3
2023, PHI,Rob Thomson,90,72,0,2,8,5
2022, HOU,Dusty Baker,106,56,0,1,11,2
2022, MIN,Rocco Baldelli,78,84,0,3,0,0
2022, TEX,Tony Beasley,17,31,0,4,0,0
2022, CIN,David Bell,62,100,0,4,0,0
2022, COL,Bud Black,68,94,0,5,0,0
2022, NYY,Aaron Boone,99,63,0,1,3,6
2022,CWS,Miguel Cairo,18,16,0,2,0,0
2022, TBR,Kevin Cash,86,76,0,3,0,2
2022, BOS,Alex Cora,78,84,0,5,0,0
2022, MIL,Craig Counsell,86,76,0,2,0,0
2022, CLE,Terry Francona,92,70,0,1,4,3
2022, PHI,Joe Girardi,22,29,0,3,0,0
2022, DET,A.J. Hinch,66,96,0,4,0,0
2022, BAL,Brandon Hyde,83,79,0,4,0,0
2022, SFG,Gabe Kapler,81,81,0,3,0,0
2022, OAK,Mark Kotsay,60,102,0,5,0,0
2022,CWS,Tony La Russa,63,65,0,3,0,0
2022, ARI,Torey Lovullo,74,88,0,4,0,0
2022, LAA,Joe Maddon,27,29,0,2,0,0
